Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR1039508_1	50.2958558183271	50.0	63.0	63	9.090909090909092	22.935520999999998
SRR1039508_2	47.93919565810487	50.0	63.0	63	9.090909090909092	22.935520999999998
SRR1039509_1	49.59447294108932	49.0	63.0	63	0.0	21.155707
SRR1039509_2	46.41559312943577	49.0	63.0	63	9.090909090909092	21.155707
SRR1039512_1	56.51450272725296	49.0	63.0	63	9.090909090909092	28.136281999999998
SRR1039512_2	55.747894652860545	49.0	63.0	63	9.090909090909092	28.136281999999998
SRR1039513_1	48.60897999352113	48.0	63.0	63	0.0	16.823088
SRR1039513_2	58.757454534542234	48.0	63.0	63	10.0	43.356463999999995
SRR1039516_1	55.22749823169962	49.0	63.0	63	10.0	27.298969999999997
SRR1039516_2	54.217392002616336	49.0	63.0	63	10.0	27.298969999999997
SRR1039517_1	57.04515073211442	49.0	63.0	63	18.181818181818183	34.29826
SRR1039517_2	56.23833820877373	49.0	63.0	63	18.181818181818183	34.29826
SRR1039520_1	49.89066831402401	49.0	63.0	63	0.0	21.275888
SRR1039520_2	49.24582424902434	49.0	63.0	63	0.0	21.275888
SRR1039521_1	52.31077362666788	49.0	63.0	63	10.0	23.487859999999998
SRR1039521_2	51.3283525441268	49.0	63.0	63	10.0	23.487859999999998
